strain	virus	accession	date	region	country	division	city	db	segment	authors
H/PF/2013	zika	KJ776791	2013-11-28	oceania	french_polynesia	french_polynesia	french_polynesia	genbank	genome	Baronti
HN16	zika	KY328289	2016-05-15	north_america	honduras	honduras	honduras	genbank	genome	Murray
HND/2016/HU_ME131	zika	KY785414	2016-05-28	north_america	honduras	honduras	honduras	genbank	genome	Metsky
HND/2016/HU_ME136	zika	KY785461	2016-05-31	north_america	honduras	honduras	honduras	genbank	genome	Metsky
HND/2016/HU_ME147	zika	KY785442	2016-06-04	north_america	honduras	honduras	honduras	genbank	genome	Metsky
HND/2016/HU_ME152	zika	KY014315	2016-06-06	north_america	honduras	honduras	honduras	genbank	genome	Metsky
HND/2016/HU_ME156	zika	KY785452	2016-06-07	north_america	honduras	honduras	honduras	genbank	genome	Metsky
HND/2016/HU_ME167	zika	KY014327	2016-06-09	north_america	honduras	honduras	honduras	genbank	genome	Metsky
HND/2016/HU_ME171	zika	KY785448	2016-06-10	north_america	honduras	honduras	honduras	genbank	genome	Metsky
HND/2016/HU_ME172	zika	KY785458	2016-06-10	north_america	honduras	honduras	honduras	genbank	genome	Metsky
HND/2016/HU_ME178	zika	KY014306	2016-06-10	north_america	honduras	honduras	honduras	genbank	genome	Metsky
HND/2016/HU_ME180	zika	KY785431	2016-06-13	north_america	honduras	honduras	honduras	genbank	genome	Metsky
HND/2016/HU_ME33	zika	KY785416	2016-04-28	north_america	honduras	honduras	honduras	genbank	genome	Metsky
HND/2016/HU_ME38	zika	KY014319	2016-04-30	north_america	honduras	honduras	honduras	genbank	genome	Metsky
HND/2016/HU_ME42	zika	KY014310	2016-05-09	north_america	honduras	honduras	honduras	genbank	genome	Metsky
HND/2016/HU_ME50	zika	KY014311	2016-05-12	north_america	honduras	honduras	honduras	genbank	genome	Metsky
HND/2016/HU_ME58	zika	KY014312	2016-05-13	north_america	honduras	honduras	honduras	genbank	genome	Metsky
HND/2016/HU_ME59	zika	KY785418	2016-05-13	north_america	honduras	honduras	honduras	genbank	genome	Metsky
HND/2016/HU_SZ76	zika	KY785471	2016-05-03	north_america	honduras	honduras	honduras	genbank	genome	Metsky
HND/2016/Honduras_1031	zika	MF801384	2016-02-03	north_america	honduras	honduras	honduras	genbank	genome	Theze
HND/2016/Honduras_1055	zika	MF801385	2016-02-12	north_america	honduras	honduras	honduras	genbank	genome	Theze
HND/2016/Honduras_1083	zika	MF801386	2016-02-24	north_america	honduras	honduras	honduras	genbank	genome	Theze
HND/2016/Honduras_1122	zika	MF801387	2016-03-29	north_america	honduras	honduras	honduras	genbank	genome	Theze
HND/2016/Honduras_1162	zika	MF801389	2016-05-10	north_america	honduras	honduras	honduras	genbank	genome	Theze
HND/2016/Honduras_24	zika	MF801381	2016-XX-XX	north_america	honduras	honduras	honduras	genbank	genome	Theze
HND/2016/Honduras_25	zika	MF801382	2016-XX-XX	north_america	honduras	honduras	honduras	genbank	genome	Theze
HND/2016/Honduras_4102	zika	MF801383	2016-06-03	north_america	honduras	honduras	honduras	genbank	genome	Theze
HND/R103451/2015	zika	KX694534	2015-01-06	north_america	honduras	honduras	honduras	genbank	genome	Shabman
HS_2015_BA_01	zika	KX520666	2015-08-XX	south_america	brazil	brazil	brazil	genbank	genome	Teixeira
HTI/2016/MA_WGS16_022	zika	KY785482	2016-07-05	north_america	haiti	haiti	haiti	genbank	genome	Metsky
Haiti/1/2016	zika	KX051563	2016-02-05	north_america	haiti	haiti	haiti	genbank	genome	Iovine
Haiti/1225/2014	zika	KU509998	2014-12-12	north_america	haiti	haiti	haiti	genbank	genome	Lednicky
Haiti/2016/PD	zika	KX269878	2016-02-01	north_america	haiti	haiti	haiti	genbank	genome	Barzon
JAM/2016/MA_WGS16_025	zika	KY785424	2016-07-10	north_america	jamaica	jamaica	jamaica	genbank	genome	Metsky
JAM/2016/MA_WGS16_038	zika	KY785438	2016-09-26	north_america	jamaica	jamaica	jamaica	genbank	genome	Metsky
JAM/2016/MA_WGS16_039	zika	KY785430	2016-09-28	north_america	jamaica	jamaica	jamaica	genbank	genome	Metsky
JAM/2016/MA_WGS16_041	zika	KY785432	2016-10-12	north_america	jamaica	jamaica	jamaica	genbank	genome	Metsky
JAM/2016/WI_JM6	zika	KY785419	2016-06-13	north_america	jamaica	jamaica	jamaica	genbank	genome	Metsky
MEX/2016/Mexico_1	zika	MF801390	2016-XX-XX	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/Mexico_3502	zika	MF801391	2016-07-06	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex04	zika	MF801394	2016-05-03	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex05	zika	MF801395	2016-05-09	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex14	zika	MF801396	2016-05-17	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex16	zika	MF801397	2016-05-20	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex17	zika	MF801398	2016-05-20	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex19	zika	MF801399	2016-05-20	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex20	zika	MF801400	2016-05-20	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex23	zika	MF801401	2016-05-23	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex24	zika	MF801402	2016-05-26	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex25	zika	MF801403	2016-05-25	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex26	zika	MF801404	2016-07-08	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex28	zika	MF801406	2016-07-07	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex29	zika	MF801407	2016-07-05	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex30	zika	MF801408	2016-07-05	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex32	zika	MF801410	2016-07-05	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex33	zika	MF801411	2016-07-05	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex34	zika	MF801412	2016-07-07	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex35	zika	MF801413	2016-07-07	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex36	zika	MF801414	2016-07-05	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex38	zika	MF801416	2016-07-XX	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex40	zika	MF801417	2016-07-01	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex42	zika	MF801418	2016-06-30	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex43	zika	MF801419	2016-07-01	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex44	zika	MF801420	2016-07-04	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex45	zika	MF801421	2016-07-01	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex46	zika	MF801422	2016-07-01	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/2016/mex47	zika	MF801423	2016-06-30	north_america	mexico	mexico	mexico	genbank	genome	Theze
MEX/R116265/2016	zika	MG595216	2016-06-23	north_america	mexico	mexico	mexico	genbank	genome	Shabman
MEX_CIENI551	zika	KY120348	2016-03-03	north_america	mexico	mexico	mexico	genbank	genome	Boukadida
MEX_I_7	zika	KX247632	2015-11-XX	north_america	mexico	mexico	mexico	genbank	genome	Barrows
MRS_OPY_Martinique_PaRi_2015	zika	KU647676	2015-12-XX	north_america	martinique	martinique	martinique	genbank	genome	Piorkowski
Martinique/2016/FL001	zika	KY785451	2016-03-22	north_america	martinique	martinique	martinique	genbank	genome	Metsky
Martinique/2016/FL001Sa	zika	KY075932	2016-03-22	north_america	martinique	martinique	martinique	genbank	genome	Grubaugh
Mex03/Mexico/2016	zika	KY606271	2016-03-05	north_america	mexico	mexico	mexico	genbank	genome	Faria
Mexico_Rus_10GNN_2016	zika	MF098770	2016-11-09	north_america	mexico	mexico	mexico	genbank	genome	Karan
Mexico_Rus_12TVR_2017	zika	MF098771	2017-01-30	north_america	mexico	mexico	mexico	genbank	genome	Karan
NIC/1304_13A1/2016	zika	MF434516	2016-08-05	north_america	nicaragua	nicaragua	nicaragua	genbank	genome	Theze
NIC/1659_13A1/2016	zika	MF434517	2016-08-19	north_america	nicaragua	nicaragua	nicaragua	genbank	genome	Theze
NIC/2016/Nicaragua_3912	zika	MF801426	2016-07-25	north_america	nicaragua	nicaragua	nicaragua	genbank	genome	Theze
NIC/4886_12A1/2016	zika	KY765321	2016-07-10	north_america	nicaragua	nicaragua	nicaragua	genbank	genome	Shabman
NIC/5005_13A1/2016	zika	KY765325	2016-04-22	north_america	nicaragua	nicaragua	nicaragua	genbank	genome	Shabman
NIC/5256_13A1/2016	zika	MF434518	2016-08-26	north_america	nicaragua	nicaragua	nicaragua	genbank	genome	Theze
NIC/5338_13A1/2016	zika	MF434519	2016-07-22	north_america	nicaragua	nicaragua	nicaragua	genbank	genome	Theze
NIC/5847_12B1/2016	zika	MF434520	2016-02-07	north_america	nicaragua	nicaragua	nicaragua	genbank	genome	Theze
NIC/6188_13A1/2016	zika	KY765326	2016-06-30	north_america	nicaragua	nicaragua	nicaragua	genbank	genome	Shabman
NIC/6406_13A1/2016	zika	KY765320	2016-05-29	north_america	nicaragua	nicaragua	nicaragua	genbank	genome	Shabman
NIC/6547_13A1/2016	zika	MF434521	2016-07-19	north_america	nicaragua	nicaragua	nicaragua	genbank	genome	Theze
NIC/7252_12A1/2016	zika	KY765317	2016-06-29	north_america	nicaragua	nicaragua	nicaragua	genbank	genome	Shabman
NIC/7253_13A1/2016	zika	MF434522	2016-08-29	north_america	nicaragua	nicaragua	nicaragua	genbank	genome	Theze
NIC/8610_13A1/2016	zika	KY765324	2016-07-07	north_america	nicaragua	nicaragua	nicaragua	genbank	genome	Shabman
Natal_RGN	zika	KU527068	2015-XX-XX	south_america	brazil	brazil	brazil	genbank	genome	Mlakar
Nica1_16	zika	KX421195	2016-01-19	north_america	nicaragua	nicaragua	nicaragua	genbank	genome	Tabata
Nica2_16	zika	KX421194	2016-01-13	north_america	nicaragua	nicaragua	nicaragua	genbank	genome	Tabata
PAN/BEI_259634_V4/2016	zika	KX198135	2016-XX-XX	north_america	panama	panama	panama	genbank	genome	Shabman
PAN/CDC_259249_V1_V3/2015	zika	KX156775	2015-12-11	north_america	panama	panama	panama	genbank	genome	Shabman
PAN/CDC_259359_V1_V3/2015	zika	KX156774	2015-12-18	north_america	panama	panama	panama	genbank	genome	Shabman
PAN/CDC_259364_V1_V2/2015	zika	KX156776	2015-12-18	north_america	panama	panama	panama	genbank	genome	Shabman
PF13/251013_18	zika	KX369547	2013-10-25	oceania	french_polynesia	french_polynesia	french_polynesia	genbank	genome	Troesemeier
PHE_Guadeloupe	zika	KX673530	2016-04-21	north_america	guadeloupe	guadeloupe	guadeloupe	genbank	genome	Atkinson
PRI/2016/MA_WGS16_004	zika	KY785464	2016-04-13	north_america	puerto_rico	puerto_rico	puerto_rico	genbank	genome	Metsky
PRI/2016/MA_WGS16_005	zika	KY785481	2016-04-12	north_america	puerto_rico	puerto_rico	puerto_rico	genbank	genome	Metsky
PRI/2016/MA_WGS16_016	zika	KY785462	2016-06-26	north_america	puerto_rico	puerto_rico	puerto_rico	genbank	genome	Metsky
PRVABC59	zika	KU501215	2015-12-XX	north_america	puerto_rico	puerto_rico	puerto_rico	genbank	genome	Lanciotti
Paraiba_01	zika	KX280026	2015-XX-XX	south_america	brazil	brazil	brazil	genbank	genome	Tsetsarkin
PuertoRico/2016/FL008U	zika	KY075933	2016-06-21	north_america	puerto_rico	puerto_rico	puerto_rico	genbank	genome	Grubaugh
PuertoRico/2016/FL016U	zika	KY075934	2016-07-03	north_america	puerto_rico	puerto_rico	puerto_rico	genbank	genome	Grubaugh
R114916	zika	KX766028	2016-06-06	north_america	dominican_republic	dominican_republic	dominican_republic	genbank	genome	Lanciotti
R116265	zika	KX766029	2016-06-23	north_america	mexico	mexico	mexico	genbank	genome	Lanciotti
Rio_S1	zika	KU926310	2016-01-29	south_america	brazil	brazil	brazil	genbank	genome	Bonaldo
Rio_U1	zika	KU926309	2016-01-14	south_america	brazil	brazil	brazil	genbank	genome	Bonaldo
SL1602	zika	KY348640	2016-01-22	south_america	suriname	suriname	suriname	genbank	genome	van
SLV/2016/ElSalvador_1055	zika	MF801377	2016-02-22	north_america	el_salvador	el_salvador	el_salvador	genbank	genome	Theze
SPH2015	zika	KU321639	2015-03-XX	south_america	brazil	brazil	brazil	genbank	genome	Cunha
SSABR1	zika	KU707826	2015-07-01	south_america	brazil	brazil	brazil	genbank	genome	Giovanetti
SZ01/2016/China	zika	KU866423	2016-XX-XX	oceania	american_samoa	american_samoa	american_samoa	genbank	genome	Deng
SZ_WIV01	zika	KU963796	2016-XX-XX	oceania	american_samoa	american_samoa	american_samoa	genbank	genome	Deng
Saint_Barthelemi_Rus_6BRN_2016	zika	MF098767	2016-07-25	north_america	saint_barthelemy	saint_barthelemy	saint_barthelemy	genbank	genome	Karan
UNK/2016/MA_WGS16_029	zika	KY785454	2016-08-05	north_america	el_salvador	el_salvador	el_salvador	genbank	genome	Metsky
USA/2016/FL010	zika	KY014295	2016-06-22	north_america	usa	usa	usa	genbank	genome	Metsky
USA/2016/FL021	zika	KX922703	2016-07-19	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FL022	zika	KY075935	2016-07-22	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FL028	zika	KY785443	2016-08-01	north_america	usa	usa	usa	genbank	genome	Metsky
USA/2016/FL029	zika	KY785457	2016-08-01	north_america	usa	usa	usa	genbank	genome	Metsky
USA/2016/FL030	zika	KX922704	2016-08-02	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FL032	zika	KX922705	2016-08-05	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FL035	zika	KY785440	2016-08-03	north_america	usa	usa	usa	genbank	genome	Metsky
USA/2016/FL036	zika	KY075936	2016-08-04	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FL038	zika	KX922706	2016-08-05	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FL039	zika	KY014316	2016-08-17	north_america	usa	usa	usa	genbank	genome	Metsky
USA/2016/FLSR036	zika	KY325464	2016-09-19	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FLSR043	zika	KY325465	2016-09-28	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FLUR001	zika	KY325480	2016-07-28	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FLUR002	zika	KY325466	2016-07-28	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FLUR005	zika	KY325481	2016-07-29	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FLUR006	zika	KY325467	2016-07-29	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FLUR007	zika	KY325468	2016-08-04	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FLUR008	zika	KY325469	2016-08-04	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FLUR009	zika	KY325470	2016-08-04	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FLUR011	zika	KY325471	2016-08-08	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FLUR013	zika	KY325472	2016-08-23	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FLUR015	zika	KY325483	2016-08-24	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FLUR022	zika	KY325473	2016-08-31	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FLUR026	zika	KY325474	2016-09-13	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FLUR057	zika	KY325475	2016-10-05	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FLUR058	zika	KY325476	2016-10-11	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FLUR063	zika	KY325477	2016-10-03	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FLWB042	zika	KY325478	2016-09-26	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/FLWB044	zika	KY325479	2016-09-28	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/Hu0015SA	zika	KX832731	2016-08-24	north_america	usa	usa	usa	genbank	genome	Grubaugh
USA/2016/MA_WGS16_034	zika	KY785459	2016-08-15	north_america	usa	usa	usa	genbank	genome	Metsky
USA/UT_1/2016	zika	KX827268	2016-01-01	north_america	mexico	mexico	mexico	genbank	genome	Swaminathan
USVI/1/2016	zika	VI1_1d	2016-09-28	north_america	usvi	saint_croix	saint_croix	fh	genome	Black
USVI/11/2016	zika	VI11	2016-03-22	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/12/2016	zika	VI12	2016-11-04	north_america	usvi	saint_croix	saint_croix	fh	genome	Black
USVI/13/2016	zika	VI13	2016-08-13	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/15/2016	zika	VI15_1d	2016-09-13	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/19/2016	zika	VI19	2016-11-21	north_america	usvi	saint_croix	saint_croix	fh	genome	Black
USVI/2/2016	zika	VI2	2016-09-28	north_america	usvi	saint_croix	saint_croix	fh	genome	Black
USVI/20/2016	zika	VI20	2016-10-13	north_america	usvi	saint_croix	saint_croix	fh	genome	Black
USVI/21/2016	zika	VI21	2016-11-07	north_america	usvi	saint_john	saint_john	fh	genome	Black
USVI/22/2016	zika	VI22	2016-09-07	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/23/2016	zika	VI23	2016-07-12	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/24/2016	zika	VI24	2016-09-13	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/25/2016	zika	VI25_1d	2016-09-27	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/27/2016	zika	VI27	2016-08-19	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/3/2016	zika	VI3	2016-09-26	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/30/2016	zika	VI30	2016-08-07	north_america	usvi	saint_croix	saint_croix	fh	genome	Black
USVI/32/2016	zika	VI32	2016-08-11	north_america	usvi	saint_croix	saint_croix	fh	genome	Black
USVI/34/2016	zika	VI34	2016-08-01	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/35/2016	zika	VI35	2016-09-08	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/36/2016	zika	VI36	2016-09-13	north_america	usvi	saint_croix	saint_croix	fh	genome	Black
USVI/37/2016	zika	VI37	2016-10-06	north_america	usvi	saint_croix	saint_croix	fh	genome	Black
USVI/38/2016	zika	VI38	2016-10-25	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/39/2016	zika	VI39	2016-11-09	north_america	usvi	saint_croix	saint_croix	fh	genome	Black
USVI/4/2016	zika	VI4_1d	2016-10-14	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/40/2016	zika	VI40	2016-11-05	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/41/2016	zika	VI41	2016-11-10	north_america	usvi	saint_croix	saint_croix	fh	genome	Black
USVI/42/2016	zika	VI42	2016-10-26	north_america	usvi	saint_croix	saint_croix	fh	genome	Black
USVI/43/2016	zika	VI43	2016-07-19	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/45/2016	zika	VI45	2016-08-03	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/46/2016	zika	VI46	2016-07-15	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/5/2016	zika	VI5	2016-10-17	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
USVI/6/2016	zika	VI6	2016-10-19	north_america	usvi	saint_john	saint_john	fh	genome	Black
USVI/7/2016	zika	VI7	2016-10-27	north_america	usvi	saint_thomas	saint_thomas	fh	genome	Black
V103344	zika	KU501216	2015-12-01	north_america	guatemala	guatemala	guatemala	genbank	genome	Lanciotti
V103451	zika	KX262887	2016-01-06	north_america	honduras	honduras	honduras	genbank	genome	Lanciotti
V17271	zika	KU758877	2015-12-XX	south_america	french_guiana	french_guiana	french_guiana	genbank	genome	Enfissi
V8375	zika	KU501217	2015-11-01	north_america	guatemala	guatemala	guatemala	genbank	genome	Lanciotti
VEN/UF_1/2016	zika	KX702400	2016-03-25	south_america	venezuela	venezuela	venezuela	genbank	genome	Blohm
VEN/UF_2/2016	zika	KX893855	2016-03-25	south_america	venezuela	venezuela	venezuela	genbank	genome	Blohm
Z1106033	zika	KU312312	2015-10-02	south_america	suriname	suriname	suriname	genbank	genome	Enfissi
Z16006	zika	KU955589	2016-02-16	oceania	american_samoa	american_samoa	american_samoa	genbank	genome	Wu
Z16019	zika	KU955590	2016-02-26	south_america	venezuela	venezuela	venezuela	genbank	genome	Wu
mex07/Mexico/2016	zika	KY606272	2016-08-05	north_america	mexico	mexico	mexico	genbank	genome	Chiu
mex48/Mexico/2016	zika	KY606273	2016-06-30	north_america	mexico	mexico	mexico	genbank	genome	Chiu
